,Year,County,ICD Version,Total Admits (Consolidated),30-day Readmits (Consolidated),30-day Readmission Rate (Consolidated),PCPI
298,2016,Inyo,ICD-10,757.0,77.0,10.17,54731.0
299,2016,Kern,ICD-10,41749.0,5561.0,13.32,36168.0
300,2016,Kings,ICD-10,6718.0,1030.0,15.33,34161.0
301,2016,Lake,ICD-10,5375.0,845.0,15.72,36651.0
302,2016,Lassen,ICD-10,856.0,96.0,11.21,32336.0
303,2016,Los Angeles,ICD-10,493868.0,77874.0,15.77,54750.0
304,2016,Madera,ICD-10,6997.0,1059.0,15.14,35931.0
305,2016,Marin,ICD-10,11232.0,1321.0,11.76,113226.0
306,2016,Mariposa,ICD-10,1117.0,154.0,13.79,46915.0
307,2016,Mendocino,ICD-10,5158.0,666.0,12.91,42497.0
308,2016,Merced,ICD-10,13467.0,2087.0,15.5,35626.0
309,2016,Modoc,ICD-10,314.0,29.0,9.24,43145.0
310,2016,Mono,ICD-10,308.0,31.0,10.06,45291.0
311,2016,Monterey,ICD-10,17789.0,2066.0,11.61,50839.0
312,2016,Napa,ICD-10,7363.0,1002.0,13.61,66405.0
313,2016,Nevada,ICD-10,5671.0,807.0,14.23,55382.0
314,2016,Orange,ICD-10,133527.0,17983.0,13.47,61188.0
315,2016,Placer,ICD-10,18698.0,2180.0,11.66,60591.0
316,2016,Plumas,ICD-10,907.0,107.0,11.8,44612.0
317,2016,Riverside,ICD-10,113451.0,16431.0,14.48,38050.0
318,2016,Sacramento,ICD-10,77797.0,11095.0,14.26,46904.0
319,2016,San Benito,ICD-10,2505.0,306.0,12.22,46235.0
320,2016,San Bernardino,ICD-10,104398.0,15630.0,14.97,36422.0
321,2016,San Diego,ICD-10,151703.0,20891.0,13.77,55074.0
322,2016,San Joaquin,ICD-10,36298.0,5369.0,14.79,39777.0
323,2016,San Luis Obispo,ICD-10,12941.0,1502.0,11.61,51118.0
324,2016,San Mateo,ICD-10,27003.0,3461.0,12.82,103798.0
325,2016,Santa Barbara,ICD-10,19086.0,2236.0,11.72,54873.0
326,2016,Santa Clara,ICD-10,68322.0,9691.0,14.18,90105.0
327,2016,Santa Cruz,ICD-10,10584.0,1171.0,11.06,58504.0
328,2016,Shasta,ICD-10,14114.0,1675.0,11.87,41305.0
329,2016,Sierra,ICD-10,132.0,15.0,11.36,37831.0
330,2016,Siskiyou,ICD-10,2269.0,233.0,10.27,40621.0
331,2016,Solano,ICD-10,21124.0,3069.0,14.53,45447.0
332,2016,Sonoma,ICD-10,23675.0,2898.0,12.24,55513.0
333,2016,Stanislaus,ICD-10,30756.0,4167.0,13.55,39780.0
334,2016,Sutter,ICD-10,5796.0,816.0,14.08,39983.0
335,2016,Tehama,ICD-10,3645.0,482.0,13.22,36008.0
336,2016,Trinity,ICD-10,888.0,110.0,12.39,29722.0
337,2016,Tulare,ICD-10,21561.0,3136.0,14.54,37125.0
338,2016,Tuolumne,ICD-10,3887.0,582.0,14.97,42373.0
339,2016,Ventura,ICD-10,40230.0,5489.0,13.64,55756.0
340,2016,Yolo,ICD-10,8078.0,1083.0,13.41,49918.0
341,2016,Yuba,ICD-10,4758.0,731.0,15.36,37593.0
342,2017,Alameda,ICD-10,64950.0,9676.0,14.9,69258.0
343,2017,Alpine,ICD-10,9.0,0.0,0.0,68653.0
344,2017,Amador,ICD-10,2970.0,405.0,13.64,41237.0
345,2017,Butte,ICD-10,23283.0,4406.0,18.92,41581.0
346,2017,Calaveras,ICD-10,2997.0,399.0,13.31,45833.0
347,2017,Colusa,ICD-10,988.0,124.0,12.55,41189.0
348,2017,Contra Costa,ICD-10,53095.0,8016.0,15.1,74770.0
349,2017,Del Norte,ICD-10,1390.0,161.0,11.58,34350.0
350,2017,El Dorado,ICD-10,10457.0,1457.0,13.93,63328.0
351,2017,Fresno,ICD-10,49058.0,7239.0,14.76,39600.0
352,2017,Glenn,ICD-10,1957.0,290.0,14.82,40428.0
353,2017,Humboldt,ICD-10,7593.0,919.0,12.1,42818.0
354,2017,Imperial,ICD-10,8276.0,1240.0,14.98,35585.0
355,2017,Inyo,ICD-10,838.0,79.0,9.43,56308.0
356,2017,Kern,ICD-10,41270.0,5728.0,13.88,36574.0
357,2017,Kings,ICD-10,6417.0,945.0,14.73,35395.0
358,2017,Lake,ICD-10,5354.0,853.0,15.93,38201.0
359,2017,Lassen,ICD-10,831.0,69.0,8.3,32154.0
360,2017,Los Angeles,ICD-10,481784.0,75361.0,15.64,56635.0
361,2017,Madera,ICD-10,6784.0,931.0,13.72,36871.0
362,2017,Marin,ICD-10,11379.0,1412.0,12.41,119063.0
363,2017,Mariposa,ICD-10,1184.0,167.0,14.1,49097.0
364,2017,Mendocino,ICD-10,5348.0,681.0,12.73,43743.0
365,2017,Merced,ICD-10,14017.0,2182.0,15.57,36405.0
366,2017,Modoc,ICD-10,349.0,42.0,12.03,43305.0
367,2017,Mono,ICD-10,280.0,22.0,7.86,51037.0
368,2017,Monterey,ICD-10,18362.0,2179.0,11.87,51861.0
369,2017,Napa,ICD-10,7243.0,1000.0,13.81,68063.0
370,2017,Nevada,ICD-10,5666.0,778.0,13.73,56004.0
371,2017,Orange,ICD-10,132179.0,17820.0,13.48,63513.0
372,2017,Placer,ICD-10,19073.0,2178.0,11.42,62803.0
373,2017,Plumas,ICD-10,840.0,97.0,11.55,45975.0
374,2017,Riverside,ICD-10,111614.0,16334.0,14.63,39060.0
375,2017,Sacramento,ICD-10,80190.0,12074.0,15.06,48299.0
376,2017,San Benito,ICD-10,2464.0,320.0,12.99,48563.0
377,2017,San Bernardino,ICD-10,104537.0,15991.0,15.3,37311.0
378,2017,San Diego,ICD-10,151905.0,20823.0,13.71,56969.0
379,2017,San Joaquin,ICD-10,37377.0,5636.0,15.08,40888.0
380,2017,San Luis Obispo,ICD-10,13019.0,1469.0,11.28,53626.0
381,2017,San Mateo,ICD-10,26998.0,3435.0,12.72,114013.0
382,2017,Santa Barbara,ICD-10,19072.0,2351.0,12.33,57012.0
383,2017,Santa Clara,ICD-10,70038.0,10082.0,14.4,97652.0
384,2017,Santa Cruz,ICD-10,10702.0,1323.0,12.36,62065.0
385,2017,Shasta,ICD-10,14022.0,1647.0,11.75,42714.0
386,2017,Sierra,ICD-10,96.0,7.0,7.29,38612.0
387,2017,Siskiyou,ICD-10,2122.0,193.0,9.1,41411.0
388,2017,Solano,ICD-10,20236.0,2951.0,14.58,46644.0
389,2017,Sonoma,ICD-10,23479.0,3024.0,12.88,57858.0
390,2017,Stanislaus,ICD-10,30327.0,4137.0,13.64,40592.0
391,2017,Sutter,ICD-10,5639.0,734.0,13.02,40348.0
392,2017,Tehama,ICD-10,3474.0,485.0,13.96,37997.0
393,2017,Trinity,ICD-10,869.0,115.0,13.23,29747.0
394,2017,Tulare,ICD-10,22274.0,3157.0,14.17,37983.0
395,2017,Tuolumne,ICD-10,3730.0,493.0,13.22,43170.0
396,2017,Ventura,ICD-10,39966.0,5535.0,13.85,57456.0
