Year,County,ICD Version,Total Admits (Consolidated),30-day Readmits (Consolidated),30-day Readmission Rate (Consolidated),PCPI,Population,Total Admits (Proportion),30-day Readmits (Proportion)
2013,Calaveras,ICD-9,3160.0,418.0,13.2,37734.0,44658,0.07075999820860764,0.009360025079493036
2013,Colusa,ICD-9,1054.0,128.0,12.1,39501.0,21239,0.04962568859174161,0.0060266490889401576
2013,Contra Costa,ICD-9,54166.0,7369.0,13.6,60387.0,1093253,0.04954571357224723,0.006740434281909128
2013,Del Norte,ICD-9,1424.0,193.0,13.6,29550.0,27821,0.05118435714028971,0.006937205707918479
2013,El Dorado,ICD-9,9982.0,1288.0,12.9,53830.0,181529,0.05498845914426896,0.007095285050873414
2013,Fresno,ICD-9,48385.0,6770.0,14.0,34426.0,951143,0.050870373855456015,0.007117752009950133
2013,Glenn,ICD-9,1695.0,238.0,14.0,37911.0,27784,0.061006334581053846,0.00856608119781169
2013,Humboldt,ICD-9,7185.0,754.0,10.5,36739.0,134447,0.05344113293714252,0.005608157861462138
2013,Imperial,ICD-9,8325.0,1189.0,14.3,32627.0,176301,0.04722037878401143,0.006744147792695447
2013,Inyo,ICD-9,722.0,34.0,4.7,45780.0,18348,0.03935033791148899,0.001853063004142141
2013,Kern,ICD-9,41048.0,5473.0,13.3,34301.0,862727,0.04757936172161066,0.0063438376218664765
2013,Kings,ICD-9,6558.0,922.0,14.1,29642.0,150237,0.04365103137043471,0.006136970253665874
2013,Lake,ICD-9,5456.0,802.0,14.7,32632.0,63811,0.08550249956903982,0.012568365955712965
2013,Lassen,ICD-9,988.0,91.0,9.2,28498.0,32128,0.03075199203187251,0.0028324203187250997
2013,Los Angeles,ICD-9,495144.0,73527.0,14.8,47541.0,9987189,0.04957791426596613,0.0073621316268271285
2013,Madera,ICD-9,6855.0,874.0,12.7,32072.0,151295,0.04530883373541756,0.005776793681218811
2013,Marin,ICD-9,11477.0,1220.0,10.6,95473.0,258440,0.04440876025383068,0.004720631481194861
2013,Mariposa,ICD-9,1016.0,106.0,10.4,38320.0,17840,0.056950672645739914,0.00594170403587444
2013,Mendocino,ICD-9,5355.0,612.0,11.4,37882.0,87070,0.061502239577351556,0.007028827380268749
2013,Merced,ICD-9,11581.0,1614.0,13.9,31492.0,261887,0.044221362648776,0.006162963415518907
2013,Modoc,ICD-9,365.0,41.0,11.2,37643.0,9154,0.03987327944068167,0.004478916320734105
2013,Mono,ICD-9,249.0,15.0,6.0,41157.0,14064,0.017704778156996587,0.0010665529010238908
2013,Monterey,ICD-9,17588.0,2002.0,11.4,44355.0,426163,0.04127059364609316,0.004697733027034257
2013,Napa,ICD-9,7829.0,1068.0,13.6,54298.0,139522,0.0561130144349995,0.007654706784593111
2013,Nevada,ICD-9,5831.0,774.0,13.3,49191.0,97969,0.059518827384172544,0.007900458308240361
2013,Orange,ICD-9,133419.0,17189.0,12.9,53545.0,3105262,0.042965456698983856,0.005535442742029497
